ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002594.SZ,20250102,283.0,283.08,269.42,271.1,282.66,-11.56,-4.0897,168784.04,4624073.918
002594.SZ,20250103,271.5,274.59,268.24,270.73,271.1,-0.37,-0.1365,99364.76,2693072.23
002594.SZ,20250106,271.94,273.89,269.03,271.28,270.73,0.55,0.2032,82446.83,2236590.144
002594.SZ,20250107,271.28,277.73,267.5,274.03,271.28,2.75,1.0137,95722.18,2627167.273
002594.SZ,20250108,272.99,273.99,265.81,269.18,274.03,-4.85,-1.7699,109082.47,2933447.142
002594.SZ,20250109,269.0,271.7,266.66,269.39,269.18,0.21,0.078,65612.88,1766873.664
002594.SZ,20250110,269.0,270.39,264.78,266.02,269.39,-3.37,-1.251,80548.21,2147363.1
002594.SZ,20250113,263.0,268.47,262.21,266.0,266.02,-0.02,-0.0075,67213.75,1787448.697
002594.SZ,20250114,266.34,277.15,266.01,276.3,266.0,10.3,3.8722,125789.73,3438827.617
002594.SZ,20250115,276.2,277.31,274.5,274.69,276.3,-1.61,-0.5827,62335.83,1718769.123
002594.SZ,20250116,274.7,277.33,270.53,272.76,274.69,-1.93,-0.7026,72571.75,1984685.718
002594.SZ,20250117,273.52,279.2,272.48,276.6,272.76,3.84,1.4078,86141.53,2376770.8
002594.SZ,20250120,279.0,286.43,278.92,284.43,276.6,7.83,2.8308,135797.09,3863727.458
002594.SZ,20250121,285.0,287.43,283.0,286.05,284.43,1.62,0.5696,76441.44,2184132.797
002594.SZ,20250122,285.0,286.3,279.8,282.5,286.05,-3.55,-1.241,81056.89,2287303.62
002594.SZ,20250123,284.98,285.0,277.0,277.11,282.5,-5.39,-1.908,96173.92,2690601.164
002594.SZ,20250124,276.51,280.5,276.0,279.08,277.11,1.97,0.7109,68143.67,1898979.251
002594.SZ,20250127,279.09,280.12,274.5,274.5,279.08,-4.58,-1.6411,63407.68,1755529.34
002594.SZ,20250205,282.73,286.75,281.6,282.8,274.5,8.3,3.0237,145350.9,4128876.836
002594.SZ,20250206,282.81,311.08,282.45,311.08,282.8,28.28,10.0,381458.68,11416508.784
002594.SZ,20250207,320.0,330.0,314.0,326.9,311.08,15.82,5.0855,487075.26,15691989.048
002594.SZ,20250210,326.91,332.0,321.58,330.13,326.9,3.23,0.9881,272711.4,8908518.537
002594.SZ,20250211,339.3,340.3,326.01,329.9,330.13,-0.23,-0.0697,280363.56,9315885.53
002594.SZ,20250212,327.5,346.94,322.65,345.05,329.9,15.15,4.5923,279357.22,9451048.634
002594.SZ,20250213,341.2,346.35,339.5,341.3,345.05,-3.75,-1.0868,199839.85,6859997.621
